TimeStep,T_avancement,T_affichage,T_total
592,0.0622078,0.0272741,0.0894822
593,0.0641045,0.0272121,0.0913167
594,0.062706,0.0318383,0.0945444
595,0.0645711,0.0273583,0.0919298
596,0.0622881,0.0276375,0.0899257
597,0.0630152,0.027665,0.0906803
598,0.0631624,0.0274907,0.0906532
599,0.0640524,0.0276558,0.0917083
600,0.070145,0.0287582,0.0989033
601,0.0648169,0.027615,0.0924322
602,0.0646996,0.0276242,0.0923239
603,0.063755,0.0279256,0.0916806
604,0.0634655,0.0273383,0.0908042
605,0.0685966,0.0280596,0.0966563
606,0.0655592,0.0279794,0.093539
607,0.0667155,0.0275806,0.0942964
608,0.0679371,0.0376139,0.105585
609,0.0670038,0.0275274,0.0945315
610,0.0719994,0.029942,0.101942
611,0.0668818,0.0279608,0.0948428
612,0.0663681,0.0274812,0.0938495
613,0.0646482,0.0296988,0.0943473
614,0.0676041,0.027579,0.0951835
615,0.0650782,0.0304983,0.0955769
616,0.0675068,0.0280194,0.0955264
617,0.0663247,0.0275964,0.0939212
618,0.0651802,0.0277429,0.0929232
619,0.0657098,0.0275113,0.0932212
620,0.0668744,0.0278503,0.0947248
621,0.0728142,0.0293066,0.102121
622,0.0653606,0.0277351,0.093096
623,0.0663495,0.0274945,0.0938444
624,0.0662813,0.0299188,0.0962002
625,0.0663882,0.0279073,0.0942956
626,0.0734112,0.0278117,0.101223
627,0.0703345,0.0279459,0.0982805
628,0.0690264,0.0277878,0.0968143
629,0.0672688,0.027735,0.095004
630,0.0674041,0.0278138,0.0952182
631,0.0740308,0.0280238,0.102055
632,0.0700244,0.0279469,0.0979714
633,0.0682403,0.0277714,0.0960118
634,0.0691709,0.0278059,0.096977
635,0.0682612,0.0279416,0.0962029
636,0.0753292,0.029266,0.104595
637,0.0689724,0.0277416,0.0967141
638,0.0713181,0.0281081,0.0994263
639,0.070595,0.0278701,0.0984658
640,0.0690172,0.0356226,0.10467
641,0.0777994,0.0279173,0.105717
642,0.0740042,0.0279097,0.101914
643,0.07181,0.0277943,0.0996048
644,0.070902,0.02774,0.0986424
645,0.0704544,0.0278855,0.0983403
646,0.0759228,0.0281841,0.104107
647,0.0722614,0.0278993,0.100161
648,0.0710154,0.0278712,0.0988867
649,0.072081,0.0277857,0.0998671
650,0.0716686,0.0277294,0.0993983
651,0.0764008,0.0289911,0.105393
652,0.0745384,0.0281143,0.102653
653,0.0724612,0.0277534,0.100215
654,0.0737939,0.0298566,0.103651
655,0.0717547,0.0278177,0.0995725
656,0.0760935,0.0279443,0.104038
657,0.070862,0.0279559,0.0988184
658,0.0702224,0.0281901,0.0984131
659,0.0708015,0.0278496,0.0986515
660,0.071661,0.0281235,0.0997846
661,0.07608,0.0305364,0.106617
662,0.0718432,0.0281077,0.0999513
663,0.0881836,0.0279891,0.116173
664,0.0757457,0.0281793,0.103925
665,0.0715105,0.028017,0.0995278
666,0.0756993,0.0281779,0.103878
667,0.0721342,0.0274973,0.0996319
668,0.0715985,0.027715,0.0993137
669,0.070815,0.0276103,0.0984255
670,0.0722136,0.027852,0.100066
671,0.0789538,0.0308192,0.109773
672,0.120521,0.0530852,0.173641
673,0.0793807,0.0293977,0.108779
674,0.0730291,0.028239,0.101268
675,0.0791934,0.0278114,0.107005
