TimeStep,T_avancement,T_affichage,T_total
236,0.0170619,0.0263477,0.04341
237,0.0178276,0.026195,0.0440229
238,0.0173786,0.0262253,0.0436046
239,0.01841,0.0305449,0.0489551
240,0.0179421,0.0263532,0.0442955
241,0.0496169,0.0260631,0.0756803
242,0.0191366,0.0263198,0.0454568
243,0.0174573,0.0278514,0.0453089
244,0.0508593,0.0259708,0.0768304
245,0.0188193,0.0261008,0.0449203
246,0.0182442,0.0263141,0.0445587
247,0.0184817,0.0262549,0.0447372
248,0.018823,0.0312143,0.0500375
249,0.0194568,0.0262137,0.0456711
250,0.0191135,0.0259155,0.0450291
251,0.0189417,0.0261122,0.045054
252,0.0191636,0.0292467,0.0484109
253,0.0266878,0.0260285,0.0527164
254,0.0515567,0.0258534,0.0774105
255,0.019109,0.0262666,0.0453763
256,0.0195092,0.0360143,0.0555491
257,0.0201858,0.0264762,0.0466623
258,0.0197195,0.029931,0.0496509
259,0.0199225,0.0264358,0.0463584
260,0.020779,0.026347,0.0471265
261,0.0263786,0.0259429,0.0523216
262,0.0212002,0.0261615,0.0473622
263,0.0209472,0.0260142,0.0469618
264,0.0477131,0.0302919,0.0780054
265,0.0212542,0.0260281,0.047283
266,0.0207014,0.0262507,0.0469527
267,0.0208694,0.0263646,0.0472341
268,0.055536,0.0259785,0.0815147
269,0.0208335,0.0262264,0.0470603
270,0.0208143,0.0261593,0.046974
271,0.0209375,0.0263158,0.0472537
272,0.0211938,0.02595,0.0471442
273,0.0219635,0.026134,0.0480979
274,0.0217281,0.0262007,0.0479291
275,0.0214623,0.0259528,0.0474155
276,0.0218696,0.0260434,0.0479454
277,0.0225883,0.026602,0.0491904
278,0.0248389,0.0272803,0.0521193
279,0.0222292,0.0260873,0.0483167
280,0.0217763,0.0262161,0.0479925
281,0.0229179,0.0264919,0.0494101
282,0.0219077,0.0260202,0.0479282
283,0.0225023,0.0262008,0.0487034
284,0.022478,0.0262947,0.0487732
285,0.0219886,0.0263493,0.0483382
286,0.0222072,0.0265258,0.0487332
287,0.023631,0.0260254,0.0496571
288,0.0244516,0.0349541,0.0594344
289,0.0240699,0.0263723,0.0504423
290,0.0236142,0.0260878,0.0497024
291,0.0241219,0.0260432,0.0501658
292,0.0231292,0.0261917,0.0493213
293,0.0238279,0.0262543,0.0500826
294,0.0240716,0.0262517,0.0503237
295,0.0233647,0.026036,0.0494013
296,0.0233582,0.0260402,0.0493989
297,0.0235588,0.0311559,0.054715
298,0.031254,0.0348755,0.0661297
299,0.0352147,0.0346871,0.0699019
300,0.0322766,0.0337902,0.066067
301,0.0339784,0.0330481,0.0670268
302,0.0327723,0.0362296,0.0690022
303,0.0320286,0.033985,0.0660138
304,0.0333687,0.0347356,0.0681045
305,0.0327254,0.0355086,0.0682342
306,0.029822,0.0349725,0.064795
307,0.0351928,0.0343738,0.0695667
308,0.0309678,0.0341497,0.0651177
309,0.035096,0.0341523,0.0692485
310,0.0302171,0.0288872,0.0591048
311,0.0265202,0.026158,0.0526787
312,0.0267165,0.0263224,0.0530391
313,0.0328534,0.0296471,0.0625009
314,0.0273574,0.0262129,0.0535705
315,0.0264372,0.0260811,0.0525188
316,0.0260927,0.0260496,0.0521428
317,0.0260118,0.0260957,0.0521078
318,0.0271426,0.0269128,0.0540556
319,0.0277107,0.0261492,0.0538601
320,0.02693,0.032009,0.0589687
321,0.029483,0.0262194,0.055703
322,0.0312375,0.0281572,0.0593951
323,0.0274548,0.026143,0.0535984
324,0.0272756,0.0262406,0.0535166
325,0.0273443,0.0264513,0.0537959
326,0.027603,0.0265156,0.0541189
327,0.0275161,0.0262684,0.0537849
328,0.0271943,0.0262052,0.0533999
329,0.0285803,0.0263793,0.0549598
330,0.0281688,0.0264057,0.0545748
331,0.0276189,0.0304171,0.0580363
332,0.0293184,0.0262791,0.0555977
333,0.0287889,0.0263287,0.055118
334,0.0279094,0.0262159,0.0541257
335,0.0280327,0.0263032,0.0543361
336,0.0284516,0.0261989,0.0546508
337,0.0295696,0.026176,0.0557459
338,0.0292037,0.0264316,0.0556355
339,0.0287458,0.0259694,0.0547153
340,0.0289283,0.0299643,0.0588929
341,0.0297819,0.0266995,0.0564819
342,0.0289261,0.0262632,0.0551896
343,0.0294771,0.0262228,0.0557
344,0.0303237,0.0262166,0.0565406
345,0.0290368,0.0261974,0.0552344
346,0.029604,0.026101,0.0557052
347,0.0305326,0.0263141,0.0568468
348,0.0300179,0.0277234,0.0577415
349,0.0336499,0.0279845,0.0616347
350,0.058371,0.0267455,0.0851167
351,0.0297118,0.026276,0.0559879
352,0.0296529,0.0332134,0.0628921
353,0.0351722,0.0263898,0.0615624
354,0.0434674,0.0276312,0.071099
355,0.0316912,0.0262588,0.0579503
356,0.0312805,0.0264078,0.0576886
357,0.0355676,0.0265103,0.0620781
358,0.032387,0.0261686,0.0585562
359,0.0314015,0.0263831,0.057785
360,0.0322408,0.0264335,0.0586745
361,0.0319918,0.0262628,0.058255
362,0.0617883,0.0260827,0.0878712
363,0.0323546,0.0263408,0.0586955
364,0.0321742,0.0263595,0.0585343
365,0.035387,0.0276744,0.0630618
366,0.0314771,0.0264284,0.0579433
367,0.0332552,0.0262284,0.0594839
368,0.0328987,0.0263727,0.0592717
369,0.0336358,0.0261724,0.0598085
370,0.0329176,0.0261954,0.0591134
371,0.0342571,0.0262539,0.0605114
372,0.0325874,0.0260599,0.0586476
373,0.0376988,0.0323841,0.0700831
374,0.0340875,0.0265618,0.0606496
375,0.0327648,0.0262955,0.0590605
376,0.0322743,0.0264206,0.058695
377,0.0335487,0.0267622,0.0603112
378,0.0333168,0.0261356,0.0594528
379,0.0332539,0.0262402,0.0594945
380,0.0328631,0.0262168,0.0590802
381,0.0326717,0.0306597,0.0633321
382,0.0333953,0.0279948,0.0613904
383,0.0359335,0.0290634,0.064997
384,0.0345669,0.0351177,0.0697108
385,0.0351253,0.0263981,0.0615235
386,0.0344884,0.0265619,0.0610504
387,0.0353961,0.0262402,0.0616365
388,0.0340922,0.0264205,0.0605129
389,0.0341559,0.0312806,0.065437
390,0.0347572,0.0263098,0.0610673
391,0.0342728,0.0263632,0.0606361
392,0.0341258,0.0263202,0.0604462
393,0.0353542,0.0264893,0.0618436
394,0.0351981,0.0263236,0.0615219
395,0.0348293,0.0261875,0.0610172
396,0.0347347,0.0262795,0.0610146
397,0.0353303,0.0304135,0.0657442
398,0.0433506,0.0263691,0.0697201
399,0.0359706,0.0261994,0.0621701
400,0.035454,0.026544,0.0619984
401,0.0351764,0.0263645,0.0615413
402,0.0359596,0.0267077,0.0626678
403,0.0361685,0.0264669,0.0626357
404,0.0366413,0.0262945,0.0629359
405,0.0413164,0.0287031,0.0700196
406,0.0367611,0.026374,0.0631352
407,0.0374475,0.0260852,0.0635332
408,0.0366854,0.0265529,0.0632384
409,0.0369756,0.0262277,0.0632034
410,0.0370967,0.0263107,0.0634075
411,0.0373679,0.0264347,0.0638027
412,0.0371407,0.0265358,0.0636769
413,0.0410329,0.0290961,0.0701295
414,0.0378897,0.0263864,0.0642767
415,0.0687415,0.0262336,0.0949752
416,0.03721,0.0336299,0.0708682
417,0.0409008,0.0265704,0.0674714
418,0.0384223,0.0262047,0.0646271
419,0.0413734,0.0265465,0.0679204
420,0.0486593,0.0267883,0.0754479
421,0.0389699,0.0264281,0.0653982
422,0.0370838,0.0264856,0.0635695
423,0.0379249,0.0266794,0.0646049
424,0.0378941,0.0263584,0.0642526
425,0.0379665,0.0265179,0.0644846
426,0.0383331,0.0267293,0.0650627
427,0.0389241,0.0303415,0.069266
428,0.0406804,0.0265111,0.0671916
429,0.0386749,0.0266777,0.0653528
